customer_id,first_name,last_name,date_of_birth,ssn_last4,email,phone_number,mailing_city,mailing_state,mailing_zip,customer_segment,employment_status,source_updated_at,source_system,change_reason
CUST-100000,Danielle,Johnson,1963-07-19,1824,danielle.johnson26@gmail.com,218-196-0013,New Carolyn,OH,26563,Mass,Retired,2025-01-01,CRM,INITIAL_LOAD
CUST-100001,Jennifer,Miles,1971-12-05,4506,jennifer.miles251@yahoo.com,940-265-4235,North Noahstad,PR,45583,Affluent,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100002,Cassandra,Roman,1989-12-02,3657,cassandra.roman143@hotmail.com,161-849-5931,Lake Jeremyport,CO,31013,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100003,Michelle,James,1973-11-22,1679,michelle.james693@yahoo.com,255-341-9283,South Noah,SC,90699,Mass,Retired,2025-01-01,CRM,INITIAL_LOAD
CUST-100004,Angela,Cohen,1996-06-24,8935,angela.cohen90@gmail.com,305-641-3953,Fostermouth,FL,35219,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100005,Donald,Mcgee,1978-11-09,9674,donald.mcgee433@hotmail.com,969-653-2871,Port Danielburgh,WY,89693,Mass,Unemployed,2025-01-01,CRM,INITIAL_LOAD
CUST-100006,Robert,Brown,1969-09-23,0520,robert.brown31@yahoo.com,848-018-4514,Mooretown,VA,94830,Affluent,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100007,Jose,Mason,1957-12-15,1535,jose.mason224@gmail.com,489-325-2880,Tracyville,MN,40807,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100008,John,Allen,1980-07-02,3811,john.allen518@gmail.com,171-822-7824,Brandtside,WV,96174,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100009,Hannah,Marquez,1970-09-26,9863,hannah.marquez28@hotmail.com,578-713-3150,New Jeffrey,CA,93279,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100010,Crystal,Perez,2000-02-10,9195,crystal.perez204@yahoo.com,183-473-8299,Sanchezfort,AS,53855,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100011,James,Davis,1972-08-05,8928,james.davis430@yahoo.com,670-106-5133,New Shane,NE,24551,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100012,Joshua,Wright,2001-02-22,3611,joshua.wright460@yahoo.com,810-801-3267,Lewisfurt,MH,08186,Mass,Self-Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100013,Franklin,Smith,1970-03-29,9654,franklin.smith285@yahoo.com,468-723-4309,Lake Leeton,OR,62994,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100014,Wesley,Farrell,1956-09-22,0106,wesley.farrell778@hotmail.com,121-913-6193,New Christophershire,OK,69023,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100015,Leslie,Green,1986-06-10,2615,leslie.green715@yahoo.com,346-247-5107,North Amandahaven,KS,17862,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100016,Sarah,Ibarra,1998-08-05,6924,sarah.ibarra349@yahoo.com,427-849-8084,East Josephville,WA,73013,Mass,Retired,2025-01-01,CRM,INITIAL_LOAD
CUST-100017,Eric,Campbell,1959-10-24,4552,eric.campbell160@yahoo.com,348-740-1640,West Kellieview,GA,97655,Private Bank,Self-Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100018,Scott,Thornton,1980-02-16,3527,scott.thornton981@gmail.com,128-059-8262,West Michaelton,MH,47399,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
CUST-100019,Jason,Wright,1953-07-22,5514,jason.wright105@hotmail.com,692-322-6025,Phambury,KY,21367,Mass,Employed,2025-01-01,CRM,INITIAL_LOAD
