COLLECTOR_ID,COLLECTOR_NAME,TEAM_NAME
COL-1000,Stacy Erickson,Early Stage 1-29
COL-1001,Gary Goodwin,Mid Stage 30-59
COL-1002,Wendy Jenkins,Recovery
COL-1003,Brenda Wolfe,Late Stage 90+
COL-1004,Melissa Maxwell,Late Stage 60-89
COL-1005,Judy Thomas,Late Stage 90+
COL-1006,Kellie Rush,Late Stage 90+
COL-1007,Chloe Allen,Mid Stage 30-59
COL-1008,John Wilson,Mid Stage 30-59
COL-1009,Mrs. Barbara Gonzalez DDS,Mid Stage 30-59
COL-1010,Teresa Allen,Late Stage 60-89
COL-1011,Joseph Goodman,Late Stage 90+
COL-1012,Caitlyn Bentley,Late Stage 90+
COL-1013,Lynn Wilson,Mid Stage 30-59
COL-1014,Shelly Grant,Mid Stage 30-59
COL-1015,Joseph Rodriguez,Mid Stage 30-59
COL-1016,Sarah Blackwell,Recovery
COL-1017,Carrie Jacobs,Late Stage 90+
COL-1018,Timothy Ortiz,Mid Stage 30-59
COL-1019,Thomas Morgan,Early Stage 1-29
COL-1020,Holly Flores,Early Stage 1-29
COL-1021,Erik Dougherty,Recovery
COL-1022,Reginald Wolf,Recovery
COL-1023,John Ferguson,Recovery
COL-1024,Mrs. Erica Stone,Recovery
COL-1025,Robert Ferguson,Recovery
COL-1026,Joseph Taylor,Late Stage 90+
COL-1027,Rachel Buchanan,Recovery
COL-1028,Matthew Coleman,Early Stage 1-29
COL-1029,Richard Mclaughlin,Late Stage 60-89
COL-1030,Kathryn Allison,Mid Stage 30-59
COL-1031,Jessica Stein,Recovery
COL-1032,Nancy Schwartz,Late Stage 60-89
COL-1033,Diana Elliott,Early Stage 1-29
COL-1034,James Small,Late Stage 90+
COL-1035,Jason Boyer,Recovery
COL-1036,Joe Brown,Late Stage 90+
COL-1037,Shawn Harrington,Late Stage 60-89
COL-1038,Amy Martinez,Recovery
COL-1039,Robert Lopez,Late Stage 90+
COL-1040,Jack Dillon,Recovery
COL-1041,Patricia Morgan,Recovery
COL-1042,Ruth Church,Late Stage 60-89
COL-1043,Sarah Ruiz,Mid Stage 30-59
COL-1044,Kimberly Bradley,Recovery
COL-1045,Bradley Sanchez,Late Stage 90+
COL-1046,Nicholas Howard,Mid Stage 30-59
COL-1047,Nicholas Clark,Late Stage 60-89
COL-1048,Donald Travis,Mid Stage 30-59
COL-1049,Erin Castro,Late Stage 60-89
COL-1050,Barbara Robertson,Mid Stage 30-59
COL-1051,Ralph Bailey,Late Stage 60-89
COL-1052,Kayla Miller,Recovery
COL-1053,Danielle Alvarado,Late Stage 60-89
COL-1054,Charles Gomez,Mid Stage 30-59
COL-1055,Edwin Weaver,Late Stage 90+
COL-1056,Daniel Hill,Early Stage 1-29
COL-1057,Melissa Stuart,Late Stage 90+
COL-1058,Lisa Ortiz,Late Stage 60-89
COL-1059,Stephen Wong,Recovery
COL-1060,Todd Liu,Recovery
COL-1061,Susan Wilson,Recovery
COL-1062,Amanda Higgins,Early Stage 1-29
COL-1063,Sharon Hernandez,Recovery
COL-1064,Amanda Huber,Mid Stage 30-59
COL-1065,Brenda Maxwell,Late Stage 90+
COL-1066,Taylor Simpson,Mid Stage 30-59
COL-1067,Jeffery Suarez,Early Stage 1-29
COL-1068,Mr. Bryan Lee,Mid Stage 30-59
COL-1069,Jonathan Golden,Early Stage 1-29
COL-1070,Shane White,Mid Stage 30-59
COL-1071,Mrs. Laura Cain,Recovery
COL-1072,Joel Waters,Mid Stage 30-59
COL-1073,Daniel Schmidt,Early Stage 1-29
COL-1074,Lauren Morrison,Mid Stage 30-59
COL-1075,Nathan Roberts,Late Stage 90+
COL-1076,Barbara Hughes,Recovery
COL-1077,Henry Smith,Late Stage 60-89
COL-1078,Kristine Cook,Late Stage 60-89
COL-1079,Felicia Brown,Early Stage 1-29
COL-1080,Kevin Schneider,Mid Stage 30-59
COL-1081,Stephanie Edwards,Recovery
COL-1082,Katie Lewis,Late Stage 90+
COL-1083,Daniel Rice,Late Stage 90+
COL-1084,Dean Nelson,Late Stage 90+
COL-1085,David Martinez,Early Stage 1-29
COL-1086,Edwin Leonard,Late Stage 60-89
COL-1087,Melissa Watkins,Recovery
COL-1088,Richard Moran,Late Stage 90+
COL-1089,Amy Young,Early Stage 1-29
COL-1090,Anthony Smith,Early Stage 1-29
COL-1091,Dennis Jones,Late Stage 60-89
COL-1092,James Ramos,Late Stage 90+
COL-1093,John Chan,Late Stage 90+
COL-1094,Tonya Shepard,Late Stage 90+
COL-1095,Barbara Brown,Late Stage 60-89
COL-1096,Ryan Stephens,Early Stage 1-29
COL-1097,Dennis Burnett,Late Stage 90+
COL-1098,Jacob Johnson,Recovery
COL-1099,James Townsend,Recovery
